Train Epoch: 0, Loss: 3.768120, Test Average loss: 3.7210, Accuracy: 2.4%  
Train Epoch: 1, Loss: 3.687979, Test Average loss: 3.5998, Accuracy: 3.55%  
Train Epoch: 2, Loss: 3.619406, Test Average loss: 3.5861, Accuracy: 3.0%  
Train Epoch: 3, Loss: 3.588675, Test Average loss: 3.5514, Accuracy: 2.85%  
Train Epoch: 4, Loss: 3.583665, Test Average loss: 3.5524, Accuracy: 3.0%  
Train Epoch: 5, Loss: 3.599189, Test Average loss: 3.5471, Accuracy: 3.0%  
Train Epoch: 6, Loss: 3.564231, Test Average loss: 3.5385, Accuracy: 3.0%  
Train Epoch: 7, Loss: 3.608735, Test Average loss: 3.5446, Accuracy: 3.0%  
Train Epoch: 8, Loss: 3.567380, Test Average loss: 3.5409, Accuracy: 3.0%  
Train Epoch: 9, Loss: 3.567028, Test Average loss: 3.5341, Accuracy: 3.0%  
Train Epoch: 10, Loss: 3.541645, Test Average loss: 3.5400, Accuracy: 2.65%  
Train Epoch: 11, Loss: 3.590423, Test Average loss: 3.5359, Accuracy: 3.0%  
Train Epoch: 12, Loss: 3.572081, Test Average loss: 3.5340, Accuracy: 3.0%  
Train Epoch: 13, Loss: 3.542856, Test Average loss: 3.5398, Accuracy: 3.0%  
Train Epoch: 14, Loss: 3.547770, Test Average loss: 3.5224, Accuracy: 3.7%  
Train Epoch: 15, Loss: 3.527874, Test Average loss: 3.5271, Accuracy: 3.0%  
Train Epoch: 16, Loss: 3.555510, Test Average loss: 3.5300, Accuracy: 3.0%  
Train Epoch: 17, Loss: 3.541531, Test Average loss: 3.5297, Accuracy: 2.95%  
Train Epoch: 18, Loss: 3.539167, Test Average loss: 3.5270, Accuracy: 3.95%  
Train Epoch: 19, Loss: 3.535993, Test Average loss: 3.5107, Accuracy: 6.15%  
Train Epoch: 20, Loss: 3.524519, Test Average loss: 3.4863, Accuracy: 5.7%  
Train Epoch: 21, Loss: 3.457051, Test Average loss: 3.4063, Accuracy: 6.95%  
Train Epoch: 22, Loss: 3.318208, Test Average loss: 3.2202, Accuracy: 9.75%  
Train Epoch: 23, Loss: 3.214406, Test Average loss: 3.1638, Accuracy: 10.4%  
Train Epoch: 24, Loss: 3.104597, Test Average loss: 3.0906, Accuracy: 12.2%  
Train Epoch: 25, Loss: 3.138768, Test Average loss: 3.0617, Accuracy: 12.3%  
Train Epoch: 26, Loss: 3.042874, Test Average loss: 2.9802, Accuracy: 13.0%  
Train Epoch: 27, Loss: 3.114627, Test Average loss: 2.9658, Accuracy: 12.45%  
Train Epoch: 28, Loss: 3.080462, Test Average loss: 2.9038, Accuracy: 14.2%  
