Train Epoch: 0, Loss: 3.768884, Test Average loss: 3.7124, Accuracy: 3.05%  
Train Epoch: 1, Loss: 3.643560, Test Average loss: 3.5815, Accuracy: 2.55%  
Train Epoch: 2, Loss: 3.623928, Test Average loss: 3.5683, Accuracy: 3.1%  
Train Epoch: 3, Loss: 3.600763, Test Average loss: 3.5559, Accuracy: 2.7%  
Train Epoch: 4, Loss: 3.582867, Test Average loss: 3.5360, Accuracy: 2.55%  
Train Epoch: 5, Loss: 3.568416, Test Average loss: 3.5554, Accuracy: 3.05%  
Train Epoch: 6, Loss: 3.605116, Test Average loss: 3.5533, Accuracy: 2.7%  
Train Epoch: 7, Loss: 3.564201, Test Average loss: 3.5390, Accuracy: 3.1%  
Train Epoch: 8, Loss: 3.549618, Test Average loss: 3.5435, Accuracy: 2.95%  
Train Epoch: 9, Loss: 3.568769, Test Average loss: 3.5422, Accuracy: 3.1%  
Train Epoch: 10, Loss: 3.566949, Test Average loss: 3.5351, Accuracy: 3.1%  
Train Epoch: 11, Loss: 3.561002, Test Average loss: 3.5375, Accuracy: 2.35%  
Train Epoch: 12, Loss: 3.565219, Test Average loss: 3.5315, Accuracy: 2.55%  
Train Epoch: 13, Loss: 3.566954, Test Average loss: 3.5406, Accuracy: 3.1%  
Train Epoch: 14, Loss: 3.543858, Test Average loss: 3.5321, Accuracy: 3.4%  
Train Epoch: 15, Loss: 3.565292, Test Average loss: 3.5350, Accuracy: 2.7%  
Train Epoch: 16, Loss: 3.539118, Test Average loss: 3.5291, Accuracy: 3.05%  
Train Epoch: 17, Loss: 3.537556, Test Average loss: 3.5306, Accuracy: 2.7%  
Train Epoch: 18, Loss: 3.568140, Test Average loss: 3.5331, Accuracy: 3.35%  
Train Epoch: 19, Loss: 3.543394, Test Average loss: 3.5361, Accuracy: 3.0%  
Train Epoch: 20, Loss: 3.547190, Test Average loss: 3.5337, Accuracy: 3.1%  
