Train Epoch: 69, Loss: 1.654187, Test Average loss: 1.5216, Accuracy: 49.2%  
Train Epoch: 70, Loss: 1.645433, Test Average loss: 1.5392, Accuracy: 51.6%  
Train Epoch: 71, Loss: 1.781674, Test Average loss: 1.5246, Accuracy: 52.35%  
Train Epoch: 72, Loss: 1.634651, Test Average loss: 1.5796, Accuracy: 54.0%  
Train Epoch: 73, Loss: 1.666643, Test Average loss: 1.3984, Accuracy: 53.7%  
Train Epoch: 74, Loss: 1.620528, Test Average loss: 1.4376, Accuracy: 54.0%  
Train Epoch: 75, Loss: 1.582228, Test Average loss: 1.3544, Accuracy: 54.25%  
Train Epoch: 76, Loss: 1.551691, Test Average loss: 1.4531, Accuracy: 55.35%  
Train Epoch: 77, Loss: 1.447977, Test Average loss: 1.3692, Accuracy: 58.0%  
Train Epoch: 78, Loss: 1.527065, Test Average loss: 1.3138, Accuracy: 57.55%  
Train Epoch: 79, Loss: 1.482406, Test Average loss: 1.3154, Accuracy: 59.05%  
Train Epoch: 80, Loss: 1.439070, Test Average loss: 1.2858, Accuracy: 57.7%  
Train Epoch: 81, Loss: 1.479371, Test Average loss: 1.2325, Accuracy: 59.65%  
Train Epoch: 82, Loss: 1.449896, Test Average loss: 1.2332, Accuracy: 61.15%  
Train Epoch: 83, Loss: 1.368693, Test Average loss: 1.1965, Accuracy: 59.55%  
Train Epoch: 84, Loss: 1.252109, Test Average loss: 1.2672, Accuracy: 62.65%  
Train Epoch: 85, Loss: 1.464498, Test Average loss: 1.2830, Accuracy: 60.15%  
Train Epoch: 86, Loss: 1.399319, Test Average loss: 1.2067, Accuracy: 61.85%  
Train Epoch: 87, Loss: 1.474658, Test Average loss: 1.1735, Accuracy: 63.9%  
Train Epoch: 88, Loss: 1.236120, Test Average loss: 1.1947, Accuracy: 63.85%  
Train Epoch: 89, Loss: 1.251739, Test Average loss: 1.0773, Accuracy: 64.95%  
Train Epoch: 90, Loss: 1.296854, Test Average loss: 1.1652, Accuracy: 62.25%  
Train Epoch: 91, Loss: 1.269936, Test Average loss: 1.0815, Accuracy: 66.6%  
Train Epoch: 92, Loss: 1.314815, Test Average loss: 0.9906, Accuracy: 65.6%  
Train Epoch: 93, Loss: 1.327715, Test Average loss: 1.0835, Accuracy: 65.85%  
Train Epoch: 94, Loss: 1.239216, Test Average loss: 1.1183, Accuracy: 64.55%  
Train Epoch: 95, Loss: 1.212631, Test Average loss: 0.9508, Accuracy: 68.95%  
Train Epoch: 96, Loss: 1.215929, Test Average loss: 0.9978, Accuracy: 68.1%  
Train Epoch: 97, Loss: 1.321987, Test Average loss: 0.9862, Accuracy: 66.0%  
Train Epoch: 98, Loss: 1.273455, Test Average loss: 1.0015, Accuracy: 69.75%  
Train Epoch: 99, Loss: 1.124068, Test Average loss: 0.9239, Accuracy: 69.55%  
