Train Epoch: 69, Loss: 1.244739, Test Average loss: 0.9264, Accuracy: 68.05%  
Train Epoch: 70, Loss: 1.166397, Test Average loss: 0.9415, Accuracy: 69.1%  
Train Epoch: 71, Loss: 1.259775, Test Average loss: 0.9663, Accuracy: 68.75%  
Train Epoch: 72, Loss: 1.154823, Test Average loss: 0.9103, Accuracy: 69.3%  
Train Epoch: 73, Loss: 1.099133, Test Average loss: 0.8823, Accuracy: 69.3%  
Train Epoch: 74, Loss: 1.146841, Test Average loss: 0.8378, Accuracy: 70.45%  
Train Epoch: 75, Loss: 1.156472, Test Average loss: 0.7723, Accuracy: 71.5%  
Train Epoch: 76, Loss: 1.104200, Test Average loss: 0.8652, Accuracy: 71.8%  
Train Epoch: 77, Loss: 1.004724, Test Average loss: 0.7669, Accuracy: 72.65%  
Train Epoch: 78, Loss: 1.124790, Test Average loss: 0.8450, Accuracy: 71.95%  
Train Epoch: 79, Loss: 1.072337, Test Average loss: 0.8376, Accuracy: 72.05%  
Train Epoch: 80, Loss: 1.079281, Test Average loss: 0.8434, Accuracy: 71.4%  
Train Epoch: 81, Loss: 0.992787, Test Average loss: 0.7482, Accuracy: 73.2%  
Train Epoch: 82, Loss: 1.041190, Test Average loss: 0.8200, Accuracy: 73.2%  
Train Epoch: 83, Loss: 0.974307, Test Average loss: 0.7493, Accuracy: 73.4%  
Train Epoch: 84, Loss: 1.139116, Test Average loss: 0.7129, Accuracy: 74.15%  
Train Epoch: 85, Loss: 1.010607, Test Average loss: 0.8011, Accuracy: 74.35%  
Train Epoch: 86, Loss: 0.933760, Test Average loss: 0.7486, Accuracy: 74.45%  
Train Epoch: 87, Loss: 0.987965, Test Average loss: 0.7929, Accuracy: 71.7%  
Train Epoch: 88, Loss: 1.077518, Test Average loss: 0.6740, Accuracy: 73.75%  
Train Epoch: 89, Loss: 1.007972, Test Average loss: 0.7707, Accuracy: 75.25%  
Train Epoch: 90, Loss: 0.956633, Test Average loss: 0.6584, Accuracy: 74.95%  
Train Epoch: 91, Loss: 1.024421, Test Average loss: 0.7207, Accuracy: 76.6%  
Train Epoch: 92, Loss: 1.102607, Test Average loss: 0.7405, Accuracy: 77.0%  
Train Epoch: 93, Loss: 0.921429, Test Average loss: 0.6676, Accuracy: 77.35%  
Train Epoch: 94, Loss: 0.870521, Test Average loss: 0.6927, Accuracy: 77.6%  
Train Epoch: 95, Loss: 1.045358, Test Average loss: 0.7828, Accuracy: 74.4%  
Train Epoch: 96, Loss: 0.916221, Test Average loss: 0.6909, Accuracy: 76.25%  
Train Epoch: 97, Loss: 0.875681, Test Average loss: 0.7379, Accuracy: 75.2%  
Train Epoch: 98, Loss: 0.909020, Test Average loss: 0.6560, Accuracy: 77.95%  
Train Epoch: 99, Loss: 1.016591, Test Average loss: 0.6482, Accuracy: 78.5%  
Train Epoch: 100, Loss: 0.876542, Test Average loss: 0.7017, Accuracy: 79.55%  
Train Epoch: 101, Loss: 0.915064, Test Average loss: 0.6230, Accuracy: 78.9%  
Train Epoch: 102, Loss: 0.964426, Test Average loss: 0.6709, Accuracy: 79.0%  
Train Epoch: 103, Loss: 0.837744, Test Average loss: 0.6136, Accuracy: 78.05%  
Train Epoch: 104, Loss: 0.918509, Test Average loss: 0.7006, Accuracy: 78.0%  
Train Epoch: 105, Loss: 0.849800, Test Average loss: 0.5582, Accuracy: 79.8%  
Train Epoch: 106, Loss: 0.831702, Test Average loss: 0.7001, Accuracy: 79.25%  
Train Epoch: 107, Loss: 0.858584, Test Average loss: 0.5774, Accuracy: 80.4%  
Train Epoch: 108, Loss: 0.896533, Test Average loss: 0.6652, Accuracy: 77.7%  
Train Epoch: 109, Loss: 0.792961, Test Average loss: 0.5503, Accuracy: 80.9%  
Train Epoch: 110, Loss: 0.845326, Test Average loss: 0.5919, Accuracy: 80.45%  
Train Epoch: 111, Loss: 0.854260, Test Average loss: 0.5770, Accuracy: 79.9%  
Train Epoch: 112, Loss: 0.779067, Test Average loss: 0.6315, Accuracy: 78.35%  
Train Epoch: 113, Loss: 0.983633, Test Average loss: 0.5587, Accuracy: 81.75%  
Train Epoch: 114, Loss: 0.816140, Test Average loss: 0.5898, Accuracy: 81.0%  
Train Epoch: 115, Loss: 0.808761, Test Average loss: 0.5443, Accuracy: 80.3%  
Train Epoch: 116, Loss: 0.850580, Test Average loss: 0.6481, Accuracy: 81.5%  
Train Epoch: 117, Loss: 0.797964, Test Average loss: 0.5958, Accuracy: 80.25%  
Train Epoch: 118, Loss: 0.771719, Test Average loss: 0.5734, Accuracy: 81.45%  
Train Epoch: 119, Loss: 0.836111, Test Average loss: 0.5532, Accuracy: 81.8%  
Train Epoch: 120, Loss: 0.719877, Test Average loss: 0.5743, Accuracy: 80.95%  
Train Epoch: 121, Loss: 0.716925, Test Average loss: 0.5351, Accuracy: 81.9%  
Train Epoch: 122, Loss: 0.860640, Test Average loss: 0.4650, Accuracy: 82.55%  
