Train Epoch: 0, Loss: 3.864864, Test Average loss: 3.7075, Accuracy: 2.95%  
Train Epoch: 1, Loss: 3.694619, Test Average loss: 3.6054, Accuracy: 2.4%  
Train Epoch: 2, Loss: 3.637443, Test Average loss: 3.5696, Accuracy: 3.4%  
Train Epoch: 3, Loss: 3.622346, Test Average loss: 3.5648, Accuracy: 3.0%  
Train Epoch: 4, Loss: 3.615361, Test Average loss: 3.5512, Accuracy: 2.85%  
Train Epoch: 5, Loss: 3.615115, Test Average loss: 3.5429, Accuracy: 3.1%  
Train Epoch: 6, Loss: 3.571570, Test Average loss: 3.5360, Accuracy: 3.15%  
Train Epoch: 7, Loss: 3.570326, Test Average loss: 3.5427, Accuracy: 2.6%  
Train Epoch: 8, Loss: 3.573098, Test Average loss: 3.5385, Accuracy: 2.75%  
Train Epoch: 9, Loss: 3.550823, Test Average loss: 3.5389, Accuracy: 2.5%  
Train Epoch: 10, Loss: 3.570580, Test Average loss: 3.5399, Accuracy: 2.8%  
Train Epoch: 11, Loss: 3.542836, Test Average loss: 3.5373, Accuracy: 3.0%  
Train Epoch: 12, Loss: 3.550151, Test Average loss: 3.5320, Accuracy: 3.05%  
Train Epoch: 13, Loss: 3.539782, Test Average loss: 3.5332, Accuracy: 3.05%  
Train Epoch: 14, Loss: 3.550699, Test Average loss: 3.5386, Accuracy: 3.1%  
Train Epoch: 15, Loss: 3.542012, Test Average loss: 3.5292, Accuracy: 2.65%  
Train Epoch: 16, Loss: 3.553003, Test Average loss: 3.5261, Accuracy: 3.05%  
Train Epoch: 17, Loss: 3.533273, Test Average loss: 3.5326, Accuracy: 3.15%  
Train Epoch: 18, Loss: 3.561789, Test Average loss: 3.5314, Accuracy: 2.7%  
Train Epoch: 19, Loss: 3.536464, Test Average loss: 3.5366, Accuracy: 2.45%  
Train Epoch: 20, Loss: 3.538925, Test Average loss: 3.5302, Accuracy: 2.7%  
Train Epoch: 21, Loss: 3.548343, Test Average loss: 3.5303, Accuracy: 3.0%  
Train Epoch: 22, Loss: 3.536687, Test Average loss: 3.5262, Accuracy: 3.0%  
Train Epoch: 23, Loss: 3.544844, Test Average loss: 3.5290, Accuracy: 3.7%  
Train Epoch: 24, Loss: 3.545076, Test Average loss: 3.5277, Accuracy: 2.9%  
Train Epoch: 25, Loss: 3.547480, Test Average loss: 3.5306, Accuracy: 2.85%  
Train Epoch: 26, Loss: 3.537114, Test Average loss: 3.5291, Accuracy: 2.5%  
Train Epoch: 27, Loss: 3.526537, Test Average loss: 3.5294, Accuracy: 2.4%  
Train Epoch: 28, Loss: 3.529576, Test Average loss: 3.5241, Accuracy: 3.55%  
Train Epoch: 29, Loss: 3.539932, Test Average loss: 3.5274, Accuracy: 3.4%  
Train Epoch: 30, Loss: 3.539671, Test Average loss: 3.5256, Accuracy: 3.7%  
Train Epoch: 31, Loss: 3.524466, Test Average loss: 3.5270, Accuracy: 3.2%  
Train Epoch: 32, Loss: 3.530075, Test Average loss: 3.5234, Accuracy: 4.15%  
Train Epoch: 33, Loss: 3.518002, Test Average loss: 3.5238, Accuracy: 3.8%  
Train Epoch: 34, Loss: 3.516532, Test Average loss: 3.5042, Accuracy: 4.4%  
Train Epoch: 35, Loss: 3.505585, Test Average loss: 3.4885, Accuracy: 5.2%  
Train Epoch: 36, Loss: 3.431942, Test Average loss: 3.4409, Accuracy: 6.1%  
Train Epoch: 37, Loss: 3.376896, Test Average loss: 3.4239, Accuracy: 7.3%  
Train Epoch: 38, Loss: 3.409901, Test Average loss: 3.3817, Accuracy: 6.95%  
Train Epoch: 39, Loss: 3.438109, Test Average loss: 3.3480, Accuracy: 7.75%  
Train Epoch: 40, Loss: 3.298562, Test Average loss: 3.3724, Accuracy: 7.2%  
Train Epoch: 41, Loss: 3.361333, Test Average loss: 3.3387, Accuracy: 7.7%  
Train Epoch: 42, Loss: 3.295058, Test Average loss: 3.2874, Accuracy: 7.85%  
Train Epoch: 43, Loss: 3.390425, Test Average loss: 3.2889, Accuracy: 8.3%  
Train Epoch: 44, Loss: 3.233995, Test Average loss: 3.3116, Accuracy: 8.55%  
Train Epoch: 45, Loss: 3.317785, Test Average loss: 3.2694, Accuracy: 8.9%  
Train Epoch: 46, Loss: 3.243621, Test Average loss: 3.3095, Accuracy: 8.95%  
Train Epoch: 47, Loss: 3.253047, Test Average loss: 3.2534, Accuracy: 9.45%  
Train Epoch: 48, Loss: 3.297712, Test Average loss: 3.1906, Accuracy: 10.15%  
Train Epoch: 49, Loss: 3.185661, Test Average loss: 3.1756, Accuracy: 9.9%  
Train Epoch: 50, Loss: 3.217589, Test Average loss: 3.1208, Accuracy: 9.55%  
Train Epoch: 51, Loss: 3.144049, Test Average loss: 3.1439, Accuracy: 11.2%  
Train Epoch: 52, Loss: 3.167338, Test Average loss: 3.1825, Accuracy: 10.3%  
Train Epoch: 53, Loss: 3.150558, Test Average loss: 3.0856, Accuracy: 10.4%  
Train Epoch: 54, Loss: 2.985255, Test Average loss: 3.0792, Accuracy: 10.5%  
Train Epoch: 55, Loss: 3.077933, Test Average loss: 3.0545, Accuracy: 12.15%  
Train Epoch: 56, Loss: 3.045748, Test Average loss: 3.0314, Accuracy: 12.45%  
Train Epoch: 57, Loss: 3.035657, Test Average loss: 2.9848, Accuracy: 13.55%  
Train Epoch: 58, Loss: 3.014452, Test Average loss: 3.0046, Accuracy: 13.95%  
Train Epoch: 59, Loss: 3.050819, Test Average loss: 2.9081, Accuracy: 14.75%  
Train Epoch: 60, Loss: 2.937664, Test Average loss: 2.9374, Accuracy: 15.25%  
Train Epoch: 61, Loss: 2.969314, Test Average loss: 2.8955, Accuracy: 15.3%  
Train Epoch: 62, Loss: 2.907033, Test Average loss: 2.9592, Accuracy: 16.15%  
Train Epoch: 63, Loss: 2.905440, Test Average loss: 2.9470, Accuracy: 17.3%  
Train Epoch: 64, Loss: 2.918221, Test Average loss: 2.8361, Accuracy: 17.3%  
Train Epoch: 65, Loss: 2.815070, Test Average loss: 2.8480, Accuracy: 18.35%  
Train Epoch: 66, Loss: 2.817471, Test Average loss: 2.8714, Accuracy: 18.1%  
Train Epoch: 67, Loss: 2.902097, Test Average loss: 2.9299, Accuracy: 16.65%  
Train Epoch: 68, Loss: 2.847666, Test Average loss: 2.8485, Accuracy: 17.2%  
Train Epoch: 69, Loss: 2.844078, Test Average loss: 2.8105, Accuracy: 17.65%  
Train Epoch: 70, Loss: 2.721113, Test Average loss: 2.7541, Accuracy: 18.9%  
Train Epoch: 71, Loss: 2.739022, Test Average loss: 2.8100, Accuracy: 19.0%  
Train Epoch: 72, Loss: 2.882748, Test Average loss: 2.6992, Accuracy: 20.85%  
Train Epoch: 73, Loss: 2.784775, Test Average loss: 2.6746, Accuracy: 19.1%  
Train Epoch: 74, Loss: 2.825025, Test Average loss: 2.7323, Accuracy: 20.65%  
Train Epoch: 75, Loss: 2.695718, Test Average loss: 2.7910, Accuracy: 19.5%  
Train Epoch: 76, Loss: 2.724784, Test Average loss: 2.6982, Accuracy: 20.95%  
Train Epoch: 77, Loss: 2.710577, Test Average loss: 2.6975, Accuracy: 20.35%  
Train Epoch: 78, Loss: 2.780661, Test Average loss: 2.6642, Accuracy: 21.0%  
Train Epoch: 79, Loss: 2.826740, Test Average loss: 2.6290, Accuracy: 20.85%  
Train Epoch: 80, Loss: 2.703740, Test Average loss: 2.6455, Accuracy: 20.5%  
Train Epoch: 81, Loss: 2.722140, Test Average loss: 2.6883, Accuracy: 23.05%  
Train Epoch: 82, Loss: 2.672094, Test Average loss: 2.6305, Accuracy: 22.65%  
Train Epoch: 83, Loss: 2.651196, Test Average loss: 2.5806, Accuracy: 22.1%  
Train Epoch: 84, Loss: 2.638126, Test Average loss: 2.6357, Accuracy: 22.0%  
Train Epoch: 85, Loss: 2.617291, Test Average loss: 2.6237, Accuracy: 22.75%  
Train Epoch: 86, Loss: 2.787364, Test Average loss: 2.5525, Accuracy: 21.95%  
Train Epoch: 87, Loss: 2.568018, Test Average loss: 2.5192, Accuracy: 23.3%  
Train Epoch: 88, Loss: 2.607531, Test Average loss: 2.6133, Accuracy: 24.15%  
Train Epoch: 89, Loss: 2.608083, Test Average loss: 2.6333, Accuracy: 24.05%  
Train Epoch: 90, Loss: 2.665912, Test Average loss: 2.5657, Accuracy: 23.6%  
Train Epoch: 91, Loss: 2.555300, Test Average loss: 2.5227, Accuracy: 23.95%  
Train Epoch: 92, Loss: 2.587414, Test Average loss: 2.5265, Accuracy: 24.0%  
Train Epoch: 93, Loss: 2.576340, Test Average loss: 2.5420, Accuracy: 24.3%  
Train Epoch: 94, Loss: 2.539233, Test Average loss: 2.5928, Accuracy: 24.25%  
Train Epoch: 95, Loss: 2.496516, Test Average loss: 2.5662, Accuracy: 24.65%  
Train Epoch: 96, Loss: 2.457347, Test Average loss: 2.5265, Accuracy: 24.8%  
Train Epoch: 97, Loss: 2.519896, Test Average loss: 2.4745, Accuracy: 24.85%  
Train Epoch: 98, Loss: 2.451626, Test Average loss: 2.4364, Accuracy: 25.15%  
Train Epoch: 99, Loss: 2.556023, Test Average loss: 2.5191, Accuracy: 24.2%  
Train Epoch: 100, Loss: 2.431488, Test Average loss: 2.4848, Accuracy: 24.95%  
Train Epoch: 101, Loss: 2.441487, Test Average loss: 2.5293, Accuracy: 25.3%  
Train Epoch: 102, Loss: 2.414968, Test Average loss: 2.3890, Accuracy: 26.35%  
Train Epoch: 103, Loss: 2.428244, Test Average loss: 2.4462, Accuracy: 26.7%  
Train Epoch: 104, Loss: 2.434761, Test Average loss: 2.4662, Accuracy: 27.0%  
Train Epoch: 105, Loss: 2.500257, Test Average loss: 2.5052, Accuracy: 26.4%  
Train Epoch: 106, Loss: 2.427949, Test Average loss: 2.4074, Accuracy: 26.55%  
Train Epoch: 107, Loss: 2.474066, Test Average loss: 2.4848, Accuracy: 27.0%  
Train Epoch: 108, Loss: 2.516199, Test Average loss: 2.3210, Accuracy: 26.85%  
Train Epoch: 109, Loss: 2.520993, Test Average loss: 2.4102, Accuracy: 26.15%  
Train Epoch: 110, Loss: 2.389977, Test Average loss: 2.4229, Accuracy: 26.95%  
Train Epoch: 111, Loss: 2.368519, Test Average loss: 2.4711, Accuracy: 27.8%  
Train Epoch: 112, Loss: 2.489899, Test Average loss: 2.5419, Accuracy: 26.0%  
Train Epoch: 113, Loss: 2.475820, Test Average loss: 2.3910, Accuracy: 27.15%  
Train Epoch: 114, Loss: 2.377914, Test Average loss: 2.3338, Accuracy: 26.75%  
Train Epoch: 115, Loss: 2.533360, Test Average loss: 2.4506, Accuracy: 27.15%  
Train Epoch: 116, Loss: 2.395492, Test Average loss: 2.4258, Accuracy: 27.1%  
Train Epoch: 117, Loss: 2.384460, Test Average loss: 2.3844, Accuracy: 27.55%  
Train Epoch: 118, Loss: 2.404346, Test Average loss: 2.4148, Accuracy: 26.9%  
Train Epoch: 119, Loss: 2.417351, Test Average loss: 2.3575, Accuracy: 28.05%  
Train Epoch: 120, Loss: 2.268953, Test Average loss: 2.4115, Accuracy: 28.7%  
Train Epoch: 121, Loss: 2.412899, Test Average loss: 2.4297, Accuracy: 28.6%  
Train Epoch: 122, Loss: 2.472610, Test Average loss: 2.3932, Accuracy: 28.35%  
Train Epoch: 123, Loss: 2.424810, Test Average loss: 2.3931, Accuracy: 28.0%  
Train Epoch: 124, Loss: 2.349102, Test Average loss: 2.3081, Accuracy: 28.9%  
Train Epoch: 125, Loss: 2.342162, Test Average loss: 2.3190, Accuracy: 29.5%  
Train Epoch: 126, Loss: 2.347680, Test Average loss: 2.4820, Accuracy: 28.8%  
Train Epoch: 127, Loss: 2.319622, Test Average loss: 2.3463, Accuracy: 28.05%  
Train Epoch: 128, Loss: 2.335244, Test Average loss: 2.4282, Accuracy: 28.65%  
Train Epoch: 129, Loss: 2.352532, Test Average loss: 2.4500, Accuracy: 28.0%  
