Train Epoch: 0, Loss: 3.832117, Test Average loss: 3.7303, Accuracy: 2.85%  
Train Epoch: 1, Loss: 3.728741, Test Average loss: 3.6071, Accuracy: 3.4%  
Train Epoch: 2, Loss: 3.642171, Test Average loss: 3.5698, Accuracy: 3.05%  
Train Epoch: 3, Loss: 3.594296, Test Average loss: 3.5603, Accuracy: 3.0%  
Train Epoch: 4, Loss: 3.602170, Test Average loss: 3.5526, Accuracy: 3.45%  
Train Epoch: 5, Loss: 3.571669, Test Average loss: 3.5400, Accuracy: 3.0%  
Train Epoch: 6, Loss: 3.566040, Test Average loss: 3.5399, Accuracy: 3.0%  
Train Epoch: 7, Loss: 3.563773, Test Average loss: 3.5403, Accuracy: 3.0%  
Train Epoch: 8, Loss: 3.559790, Test Average loss: 3.5425, Accuracy: 3.25%  
Train Epoch: 9, Loss: 3.566372, Test Average loss: 3.5390, Accuracy: 3.0%  
Train Epoch: 10, Loss: 3.570515, Test Average loss: 3.5350, Accuracy: 2.45%  
Train Epoch: 11, Loss: 3.566173, Test Average loss: 3.5370, Accuracy: 3.0%  
Train Epoch: 12, Loss: 3.567015, Test Average loss: 3.5383, Accuracy: 3.2%  
Train Epoch: 13, Loss: 3.561584, Test Average loss: 3.5295, Accuracy: 3.05%  
Train Epoch: 14, Loss: 3.553246, Test Average loss: 3.5313, Accuracy: 2.45%  
Train Epoch: 15, Loss: 3.551041, Test Average loss: 3.5294, Accuracy: 3.05%  
Train Epoch: 16, Loss: 3.538415, Test Average loss: 3.5323, Accuracy: 2.4%  
Train Epoch: 17, Loss: 3.554879, Test Average loss: 3.5318, Accuracy: 3.0%  
Train Epoch: 18, Loss: 3.564623, Test Average loss: 3.5270, Accuracy: 3.2%  
Train Epoch: 19, Loss: 3.552358, Test Average loss: 3.5295, Accuracy: 4.0%  
Train Epoch: 20, Loss: 3.543595, Test Average loss: 3.5301, Accuracy: 2.85%  
Train Epoch: 21, Loss: 3.555982, Test Average loss: 3.5271, Accuracy: 3.0%  
Train Epoch: 22, Loss: 3.532975, Test Average loss: 3.5228, Accuracy: 4.35%  
Train Epoch: 23, Loss: 3.519127, Test Average loss: 3.4982, Accuracy: 4.15%  
Train Epoch: 24, Loss: 3.499475, Test Average loss: 3.4702, Accuracy: 5.1%  
Train Epoch: 25, Loss: 3.403209, Test Average loss: 3.3644, Accuracy: 7.15%  
Train Epoch: 26, Loss: 3.354083, Test Average loss: 3.2658, Accuracy: 7.1%  
Train Epoch: 27, Loss: 3.286393, Test Average loss: 3.2253, Accuracy: 8.25%  
Train Epoch: 28, Loss: 3.283746, Test Average loss: 3.2635, Accuracy: 8.3%  
Train Epoch: 29, Loss: 3.264168, Test Average loss: 3.2446, Accuracy: 8.7%  
Train Epoch: 30, Loss: 3.239174, Test Average loss: 3.2096, Accuracy: 9.0%  
Train Epoch: 31, Loss: 3.266646, Test Average loss: 3.1479, Accuracy: 10.25%  
Train Epoch: 32, Loss: 3.161228, Test Average loss: 3.0873, Accuracy: 10.3%  
Train Epoch: 33, Loss: 3.181600, Test Average loss: 3.1512, Accuracy: 10.65%  
Train Epoch: 34, Loss: 3.228612, Test Average loss: 3.0788, Accuracy: 11.5%  
Train Epoch: 35, Loss: 3.017434, Test Average loss: 3.0453, Accuracy: 11.0%  
Train Epoch: 36, Loss: 3.063744, Test Average loss: 3.0019, Accuracy: 11.25%  
Train Epoch: 37, Loss: 3.186632, Test Average loss: 3.0422, Accuracy: 11.8%  
Train Epoch: 38, Loss: 3.155182, Test Average loss: 2.9811, Accuracy: 13.1%  
Train Epoch: 39, Loss: 3.033085, Test Average loss: 2.9733, Accuracy: 12.75%  
Train Epoch: 40, Loss: 3.031276, Test Average loss: 2.8666, Accuracy: 13.85%  
Train Epoch: 41, Loss: 3.063481, Test Average loss: 2.8886, Accuracy: 13.75%  
Train Epoch: 42, Loss: 2.994183, Test Average loss: 2.8501, Accuracy: 14.35%  
Train Epoch: 43, Loss: 2.992260, Test Average loss: 2.8886, Accuracy: 14.65%  
Train Epoch: 44, Loss: 2.966989, Test Average loss: 2.8699, Accuracy: 14.9%  
Train Epoch: 45, Loss: 2.991126, Test Average loss: 2.8812, Accuracy: 15.7%  
Train Epoch: 46, Loss: 2.948997, Test Average loss: 2.8775, Accuracy: 15.8%  
Train Epoch: 47, Loss: 2.892997, Test Average loss: 2.7996, Accuracy: 15.95%  
Train Epoch: 48, Loss: 2.891654, Test Average loss: 2.7471, Accuracy: 16.65%  
Train Epoch: 49, Loss: 2.846111, Test Average loss: 2.7329, Accuracy: 16.5%  
Train Epoch: 50, Loss: 2.911143, Test Average loss: 2.7481, Accuracy: 16.6%  
Train Epoch: 51, Loss: 2.865220, Test Average loss: 2.8715, Accuracy: 15.85%  
Train Epoch: 52, Loss: 2.868347, Test Average loss: 2.7493, Accuracy: 17.0%  
Train Epoch: 53, Loss: 2.936381, Test Average loss: 2.7409, Accuracy: 16.95%  
Train Epoch: 54, Loss: 2.731346, Test Average loss: 2.7727, Accuracy: 19.1%  
Train Epoch: 55, Loss: 2.837445, Test Average loss: 2.7815, Accuracy: 17.85%  
Train Epoch: 56, Loss: 2.775319, Test Average loss: 2.7292, Accuracy: 18.9%  
Train Epoch: 57, Loss: 2.810044, Test Average loss: 2.6757, Accuracy: 16.85%  
Train Epoch: 58, Loss: 2.834615, Test Average loss: 2.6280, Accuracy: 18.25%  
Train Epoch: 59, Loss: 2.861333, Test Average loss: 2.6810, Accuracy: 19.45%  
Train Epoch: 60, Loss: 2.832655, Test Average loss: 2.6430, Accuracy: 19.7%  
Train Epoch: 61, Loss: 2.847291, Test Average loss: 2.6851, Accuracy: 18.7%  
