Train Epoch: 0, Loss: 3.559353, Test Average loss: 3.3367, Accuracy: 4.3%  
Train Epoch: 1, Loss: 3.351746, Test Average loss: 3.2538, Accuracy: 3.8%  
Train Epoch: 2, Loss: 3.310510, Test Average loss: 3.2202, Accuracy: 3.95%  
Train Epoch: 3, Loss: 3.266090, Test Average loss: 3.2063, Accuracy: 3.85%  
Train Epoch: 4, Loss: 3.252916, Test Average loss: 3.2124, Accuracy: 4.5%  
Train Epoch: 5, Loss: 3.261410, Test Average loss: 3.1896, Accuracy: 4.5%  
Train Epoch: 6, Loss: 3.229415, Test Average loss: 3.1939, Accuracy: 3.9%  
Train Epoch: 7, Loss: 3.184376, Test Average loss: 3.1952, Accuracy: 4.5%  
Train Epoch: 8, Loss: 3.221993, Test Average loss: 3.1869, Accuracy: 3.9%  
Train Epoch: 9, Loss: 3.194335, Test Average loss: 3.1865, Accuracy: 5.3%  
Train Epoch: 10, Loss: 3.220872, Test Average loss: 3.1844, Accuracy: 4.1%  
Train Epoch: 11, Loss: 3.212888, Test Average loss: 3.1843, Accuracy: 5.45%  
Train Epoch: 12, Loss: 3.193888, Test Average loss: 3.1771, Accuracy: 4.8%  
Train Epoch: 13, Loss: 3.191757, Test Average loss: 3.1823, Accuracy: 4.95%  
Train Epoch: 14, Loss: 3.220852, Test Average loss: 3.1859, Accuracy: 4.0%  
Train Epoch: 15, Loss: 3.196874, Test Average loss: 3.1738, Accuracy: 4.5%  
Train Epoch: 16, Loss: 3.184157, Test Average loss: 3.1667, Accuracy: 6.95%  
Train Epoch: 17, Loss: 3.148657, Test Average loss: 3.1420, Accuracy: 6.8%  
Train Epoch: 18, Loss: 3.097126, Test Average loss: 3.0496, Accuracy: 12.25%  
Train Epoch: 19, Loss: 2.896466, Test Average loss: 2.7351, Accuracy: 15.45%  
Train Epoch: 20, Loss: 2.666543, Test Average loss: 2.5512, Accuracy: 20.35%  
Train Epoch: 21, Loss: 2.507038, Test Average loss: 2.3189, Accuracy: 26.5%  
Train Epoch: 22, Loss: 2.377983, Test Average loss: 2.1758, Accuracy: 28.2%  
Train Epoch: 23, Loss: 2.224794, Test Average loss: 2.1048, Accuracy: 29.65%  
Train Epoch: 24, Loss: 2.295084, Test Average loss: 1.9264, Accuracy: 33.2%  
Train Epoch: 25, Loss: 2.126633, Test Average loss: 1.9545, Accuracy: 33.8%  
Train Epoch: 26, Loss: 2.055682, Test Average loss: 1.8961, Accuracy: 34.55%  
Train Epoch: 27, Loss: 2.030002, Test Average loss: 1.7917, Accuracy: 38.75%  
Train Epoch: 28, Loss: 1.903447, Test Average loss: 1.6979, Accuracy: 40.95%  
Train Epoch: 29, Loss: 1.895210, Test Average loss: 1.7484, Accuracy: 40.3%  
Train Epoch: 30, Loss: 1.898655, Test Average loss: 1.5803, Accuracy: 46.0%  
Train Epoch: 31, Loss: 1.770576, Test Average loss: 1.5653, Accuracy: 45.5%  
Train Epoch: 32, Loss: 1.734440, Test Average loss: 1.5055, Accuracy: 49.65%  
Train Epoch: 33, Loss: 1.707431, Test Average loss: 1.4076, Accuracy: 52.1%  
Train Epoch: 34, Loss: 1.469725, Test Average loss: 1.3685, Accuracy: 55.1%  
Train Epoch: 35, Loss: 1.511530, Test Average loss: 1.2758, Accuracy: 57.6%  
Train Epoch: 36, Loss: 1.342288, Test Average loss: 1.1810, Accuracy: 57.55%  
Train Epoch: 37, Loss: 1.442362, Test Average loss: 1.1446, Accuracy: 58.85%  
Train Epoch: 38, Loss: 1.470605, Test Average loss: 1.1289, Accuracy: 62.3%  
Train Epoch: 39, Loss: 1.455122, Test Average loss: 1.1376, Accuracy: 64.1%  
Train Epoch: 40, Loss: 1.323018, Test Average loss: 1.0582, Accuracy: 63.65%  
Train Epoch: 41, Loss: 1.303029, Test Average loss: 1.0116, Accuracy: 65.35%  
Train Epoch: 42, Loss: 1.256130, Test Average loss: 0.9985, Accuracy: 67.35%  
Train Epoch: 43, Loss: 1.281490, Test Average loss: 1.0086, Accuracy: 66.6%  
Train Epoch: 44, Loss: 1.194432, Test Average loss: 0.9637, Accuracy: 67.0%  
Train Epoch: 45, Loss: 1.186873, Test Average loss: 0.9606, Accuracy: 67.75%  
Train Epoch: 46, Loss: 1.155492, Test Average loss: 0.9331, Accuracy: 66.35%  
Train Epoch: 47, Loss: 1.151822, Test Average loss: 0.9316, Accuracy: 70.1%  
Train Epoch: 48, Loss: 1.112103, Test Average loss: 0.9110, Accuracy: 69.2%  
Train Epoch: 49, Loss: 1.062371, Test Average loss: 0.8655, Accuracy: 70.7%  
Train Epoch: 50, Loss: 1.034161, Test Average loss: 0.8564, Accuracy: 71.8%  
Train Epoch: 51, Loss: 1.116048, Test Average loss: 0.9387, Accuracy: 71.15%  
Train Epoch: 52, Loss: 1.161590, Test Average loss: 0.8900, Accuracy: 69.3%  
Train Epoch: 53, Loss: 1.040980, Test Average loss: 0.8846, Accuracy: 71.7%  
Train Epoch: 54, Loss: 1.009457, Test Average loss: 0.7523, Accuracy: 71.7%  
Train Epoch: 55, Loss: 0.919762, Test Average loss: 0.8909, Accuracy: 72.65%  
Train Epoch: 56, Loss: 1.099605, Test Average loss: 0.8312, Accuracy: 73.15%  
Train Epoch: 57, Loss: 1.032626, Test Average loss: 0.7202, Accuracy: 74.7%  
Train Epoch: 58, Loss: 1.007351, Test Average loss: 0.8237, Accuracy: 74.4%  
Train Epoch: 59, Loss: 0.988772, Test Average loss: 0.7564, Accuracy: 73.2%  
Train Epoch: 60, Loss: 1.017583, Test Average loss: 0.8084, Accuracy: 74.75%  
Train Epoch: 61, Loss: 0.978610, Test Average loss: 0.7514, Accuracy: 74.8%  
Train Epoch: 62, Loss: 0.868834, Test Average loss: 0.6912, Accuracy: 75.5%  
Train Epoch: 63, Loss: 1.019018, Test Average loss: 0.7861, Accuracy: 75.1%  
Train Epoch: 64, Loss: 0.908761, Test Average loss: 0.6499, Accuracy: 76.7%  
Train Epoch: 65, Loss: 0.970634, Test Average loss: 0.7352, Accuracy: 75.75%  
Train Epoch: 66, Loss: 0.826682, Test Average loss: 0.6990, Accuracy: 76.8%  
Train Epoch: 67, Loss: 0.864556, Test Average loss: 0.6623, Accuracy: 77.65%  
Train Epoch: 68, Loss: 0.834817, Test Average loss: 0.5973, Accuracy: 79.35%  
Train Epoch: 69, Loss: 0.845712, Test Average loss: 0.7026, Accuracy: 78.15%  
Train Epoch: 70, Loss: 0.740984, Test Average loss: 0.7068, Accuracy: 76.0%  
Train Epoch: 71, Loss: 0.764022, Test Average loss: 0.5983, Accuracy: 78.75%  
Train Epoch: 72, Loss: 0.837023, Test Average loss: 0.6223, Accuracy: 79.15%  
Train Epoch: 73, Loss: 0.812287, Test Average loss: 0.6091, Accuracy: 78.6%  
Train Epoch: 74, Loss: 0.851160, Test Average loss: 0.6177, Accuracy: 79.05%  
Train Epoch: 75, Loss: 0.821891, Test Average loss: 0.7065, Accuracy: 79.7%  
Train Epoch: 76, Loss: 0.834564, Test Average loss: 0.6401, Accuracy: 77.65%  
Train Epoch: 77, Loss: 0.844314, Test Average loss: 0.6941, Accuracy: 79.2%  
Train Epoch: 78, Loss: 0.718177, Test Average loss: 0.5369, Accuracy: 80.85%  
Train Epoch: 79, Loss: 0.818864, Test Average loss: 0.5689, Accuracy: 80.5%  
Train Epoch: 80, Loss: 0.672309, Test Average loss: 0.6069, Accuracy: 80.85%  
Train Epoch: 81, Loss: 0.824583, Test Average loss: 0.5826, Accuracy: 81.55%  
Train Epoch: 82, Loss: 0.767748, Test Average loss: 0.5156, Accuracy: 81.5%  
Train Epoch: 83, Loss: 0.889477, Test Average loss: 0.5791, Accuracy: 81.55%  
Train Epoch: 84, Loss: 0.691223, Test Average loss: 0.6118, Accuracy: 81.2%  
Train Epoch: 85, Loss: 0.733172, Test Average loss: 0.5293, Accuracy: 83.05%  
Train Epoch: 86, Loss: 0.679967, Test Average loss: 0.5355, Accuracy: 82.35%  
Train Epoch: 87, Loss: 0.679535, Test Average loss: 0.5253, Accuracy: 81.45%  
Train Epoch: 88, Loss: 0.720383, Test Average loss: 0.5915, Accuracy: 82.85%  
Train Epoch: 89, Loss: 0.616170, Test Average loss: 0.5683, Accuracy: 83.4%  
Train Epoch: 90, Loss: 0.640791, Test Average loss: 0.5325, Accuracy: 84.75%  
Train Epoch: 91, Loss: 0.624164, Test Average loss: 0.5410, Accuracy: 84.75%  
Train Epoch: 92, Loss: 0.669290, Test Average loss: 0.5028, Accuracy: 83.9%  
Train Epoch: 93, Loss: 0.673876, Test Average loss: 0.4588, Accuracy: 84.95%  
Train Epoch: 94, Loss: 0.624132, Test Average loss: 0.5163, Accuracy: 84.4%  
Train Epoch: 95, Loss: 0.629019, Test Average loss: 0.4768, Accuracy: 82.85%  
Train Epoch: 96, Loss: 0.661584, Test Average loss: 0.4272, Accuracy: 85.15%  
Train Epoch: 97, Loss: 0.633303, Test Average loss: 0.4872, Accuracy: 85.5%  
Train Epoch: 98, Loss: 0.525699, Test Average loss: 0.4793, Accuracy: 85.7%  
Train Epoch: 99, Loss: 0.731987, Test Average loss: 0.4331, Accuracy: 86.85%  
Train Epoch: 100, Loss: 0.548148, Test Average loss: 0.4082, Accuracy: 85.7%  
Train Epoch: 101, Loss: 0.603891, Test Average loss: 0.4439, Accuracy: 85.65%  
Train Epoch: 102, Loss: 0.654303, Test Average loss: 0.4383, Accuracy: 86.5%  
Train Epoch: 103, Loss: 0.509224, Test Average loss: 0.3598, Accuracy: 86.65%  
Train Epoch: 104, Loss: 0.567948, Test Average loss: 0.4465, Accuracy: 86.75%  
