Train Epoch: 0, Loss: 3.746427, Test Average loss: 3.6663, Accuracy: 3.1%  
Train Epoch: 1, Loss: 3.618718, Test Average loss: 3.5226, Accuracy: 2.65%  
Train Epoch: 2, Loss: 3.546938, Test Average loss: 3.4801, Accuracy: 2.65%  
Train Epoch: 3, Loss: 3.530505, Test Average loss: 3.4613, Accuracy: 2.65%  
Train Epoch: 4, Loss: 3.532103, Test Average loss: 3.4589, Accuracy: 2.65%  
Train Epoch: 5, Loss: 3.495103, Test Average loss: 3.4529, Accuracy: 2.65%  
Train Epoch: 6, Loss: 3.463232, Test Average loss: 3.4520, Accuracy: 2.65%  
Train Epoch: 7, Loss: 3.493551, Test Average loss: 3.4500, Accuracy: 2.65%  
Train Epoch: 8, Loss: 3.498634, Test Average loss: 3.4444, Accuracy: 2.8%  
Train Epoch: 9, Loss: 3.455938, Test Average loss: 3.4441, Accuracy: 3.5%  
Train Epoch: 10, Loss: 3.469339, Test Average loss: 3.4463, Accuracy: 2.65%  
Train Epoch: 11, Loss: 3.490772, Test Average loss: 3.4502, Accuracy: 2.65%  
Train Epoch: 12, Loss: 3.469746, Test Average loss: 3.4467, Accuracy: 2.65%  
Train Epoch: 13, Loss: 3.466359, Test Average loss: 3.4399, Accuracy: 3.25%  
Train Epoch: 14, Loss: 3.472591, Test Average loss: 3.4500, Accuracy: 2.65%  
Train Epoch: 15, Loss: 3.448730, Test Average loss: 3.4445, Accuracy: 2.65%  
Train Epoch: 16, Loss: 3.465289, Test Average loss: 3.4415, Accuracy: 2.65%  
Train Epoch: 17, Loss: 3.458988, Test Average loss: 3.4411, Accuracy: 2.65%  
Train Epoch: 18, Loss: 3.460569, Test Average loss: 3.4379, Accuracy: 3.15%  
Train Epoch: 19, Loss: 3.439903, Test Average loss: 3.4398, Accuracy: 2.65%  
Train Epoch: 20, Loss: 3.454429, Test Average loss: 3.4363, Accuracy: 2.65%  
Train Epoch: 21, Loss: 3.457178, Test Average loss: 3.4379, Accuracy: 2.65%  
Train Epoch: 22, Loss: 3.447952, Test Average loss: 3.4437, Accuracy: 2.65%  
Train Epoch: 23, Loss: 3.456264, Test Average loss: 3.4467, Accuracy: 2.9%  
Train Epoch: 24, Loss: 3.457747, Test Average loss: 3.4368, Accuracy: 3.35%  
Train Epoch: 25, Loss: 3.448638, Test Average loss: 3.4387, Accuracy: 2.6%  
Train Epoch: 26, Loss: 3.454700, Test Average loss: 3.4429, Accuracy: 3.05%  
Train Epoch: 27, Loss: 3.441839, Test Average loss: 3.4388, Accuracy: 3.95%  
Train Epoch: 28, Loss: 3.434071, Test Average loss: 3.4398, Accuracy: 3.05%  
Train Epoch: 29, Loss: 3.449585, Test Average loss: 3.4404, Accuracy: 3.0%  
Train Epoch: 30, Loss: 3.426224, Test Average loss: 3.4369, Accuracy: 3.65%  
Train Epoch: 31, Loss: 3.435691, Test Average loss: 3.4392, Accuracy: 3.2%  
Train Epoch: 32, Loss: 3.449540, Test Average loss: 3.4403, Accuracy: 3.3%  
Train Epoch: 33, Loss: 3.435822, Test Average loss: 3.4322, Accuracy: 3.7%  
Train Epoch: 34, Loss: 3.441139, Test Average loss: 3.4409, Accuracy: 4.2%  
Train Epoch: 35, Loss: 3.440410, Test Average loss: 3.4342, Accuracy: 3.3%  
Train Epoch: 36, Loss: 3.437250, Test Average loss: 3.4330, Accuracy: 3.6%  
Train Epoch: 37, Loss: 3.419662, Test Average loss: 3.4135, Accuracy: 4.45%  
Train Epoch: 38, Loss: 3.368906, Test Average loss: 3.3495, Accuracy: 6.5%  
Train Epoch: 39, Loss: 3.242785, Test Average loss: 3.2075, Accuracy: 6.85%  
Train Epoch: 40, Loss: 3.132919, Test Average loss: 3.0744, Accuracy: 8.55%  
Train Epoch: 41, Loss: 3.053870, Test Average loss: 2.9738, Accuracy: 9.7%  
Train Epoch: 42, Loss: 2.937564, Test Average loss: 2.9089, Accuracy: 9.3%  
Train Epoch: 43, Loss: 2.868299, Test Average loss: 2.9161, Accuracy: 10.0%  
Train Epoch: 44, Loss: 2.846654, Test Average loss: 2.8230, Accuracy: 11.5%  
Train Epoch: 45, Loss: 2.823459, Test Average loss: 2.8413, Accuracy: 12.4%  
Train Epoch: 46, Loss: 2.850480, Test Average loss: 2.8098, Accuracy: 10.1%  
Train Epoch: 47, Loss: 2.808378, Test Average loss: 2.7092, Accuracy: 11.5%  
Train Epoch: 48, Loss: 2.775820, Test Average loss: 2.7828, Accuracy: 10.55%  
Train Epoch: 49, Loss: 2.772809, Test Average loss: 2.7292, Accuracy: 13.6%  
Train Epoch: 50, Loss: 2.709280, Test Average loss: 2.7273, Accuracy: 12.6%  
Train Epoch: 51, Loss: 2.782638, Test Average loss: 2.7076, Accuracy: 13.4%  
